customer_id,customer_name,email,registration_date,customer_type
1,Brian Yang,johnsonjoshua@example.org,2025-11-13,REGULAR
2,Jonathan Johnson,garzaanthony@example.org,2024-05-23,REGULAR
3,Abigail Shaffer,lrobinson@example.com,2026-07-08,VIP
4,Gabrielle Davis,jpeterson@example.org,2023-12-17,VIP
5,Kimberly Dudley,melanie94@example.org,2025-02-27,REGULAR
6,Heidi Lee,arnoldmaria@example.net,2023-11-05,REGULAR
7,Sharon James,stanleykendra@example.org,2025-06-23,REGULAR
8,Timothy Wong,francisco53@example.net,2026-02-20,VIP
9,William Bowman,amandasanchez@example.com,2025-12-01,REGULAR
10,Andrew Stewart,gabriellecameron@example.org,2024-09-07,VIP
11,Matthew Foster,clarksherri@example.net,2026-04-13,REGULAR
12,Kimberly Burgess,ithomas@example.org,2025-05-15,PREMIUM
13,Peter Callahan Jr.,icox@example.net,2024-03-24,REGULAR
14,Julie King,ycarlson@example.com,2025-11-25,REGULAR
15,Patricia Peterson,frazierdanny@example.net,2024-10-17,PREMIUM
16,Deborah Mason,amoore@example.net,2024-04-22,REGULAR
17,Christina Brooks,harrellkenneth@example.net,2024-03-26,PREMIUM
18,Sherry Decker,georgetracy@example.org,2024-11-08,PREMIUM
19,John Jones,brianhumphrey@example.org,2025-10-24,PREMIUM
20,Joseph Obrien,davidalvarez@example.net,2024-06-13,REGULAR
21,Jessica Holmes,jenniferross@example.net,2024-01-23,VIP
22,Leah Smith,jeffreymorgan@example.net,2026-03-26,PREMIUM
23,David Caldwell,perezrebecca@example.com,2024-06-16,PREMIUM
24,Richard Aguirre,jenniferkhan@example.net,2024-05-10,VIP
25,Scott Brown,davisryan@example.com,2026-04-30,PREMIUM
26,Connor West,brownjessica@example.org,2025-05-05,VIP
27,Scott Pierce,joshuawright@example.org,2023-10-06,VIP
28,John Lewis,novaksara@example.org,2025-04-02,PREMIUM
29,Richard Gibson,martinaaron@example.com,2025-05-07,REGULAR
30,Lauren Daniels,smoore@example.org,2024-11-18,PREMIUM
31,Tyler Miller,williamsthomas@example.net,2024-05-03,VIP
32,Todd Hudson,larsonemma@example.org,2026-01-04,REGULAR
33,Emily Green,harveyrobert@example.net,2026-05-25,REGULAR
34,Joyce Hickman,john62@example.net,2023-11-09,VIP
35,Daniel Baker,ellisyolanda@example.org,2025-01-12,VIP
36,Joshua Turner,suarezmike@example.org,2026-04-30,VIP
37,Shawn Baker,contrerasangela@example.net,2024-01-02,VIP
38,Michael Farrell,josephjacobs@example.net,2025-09-12,PREMIUM
39,Sandra Williams,dking@example.org,2024-12-19,VIP
40,Michael Hoffman,danagreen@example.net,2024-01-09,REGULAR
41,Sandra Aguilar,landryhannah@example.org,2024-03-06,REGULAR
42,Rebecca Valencia,tanderson@example.com,2025-01-25,REGULAR
43,Stacey Russell,evelynestrada@example.com,2026-03-10,PREMIUM
44,Rita Keith,sarayoung@example.org,2023-08-27,REGULAR
45,Sharon Cochran,jillcook@example.com,2024-09-06,VIP
46,Courtney Velasquez,kristinrodriguez@example.org,2025-07-04,PREMIUM
47,Jennifer Ramirez,kevin33@example.org,2023-11-04,PREMIUM
48,Ms. Teresa Wilson,michael86@example.net,2024-08-28,VIP
49,Jeffrey Chandler,beverlyterrell@example.org,2024-11-18,PREMIUM
50,Kenneth Scott,gobrien@example.org,2025-05-27,VIP
51,Natalie Lambert,meyerlindsay@example.net,2025-02-04,PREMIUM
52,Mary Martinez,qjones@example.com,2024-10-28,PREMIUM
53,Cameron Fisher,elizabeth56@example.net,2025-02-27,PREMIUM
54,Elizabeth Clark,christinaturner@example.net,2026-01-05,REGULAR
55,Steven Flynn,steven73@example.net,2024-04-08,REGULAR
56,Robert Potter,campbellelizabeth@example.net,2026-05-30,REGULAR
57,William Carr,jeffrey32@example.org,2023-11-10,REGULAR
58,Michael Snyder,operry@example.net,2024-08-02,PREMIUM
59,Colleen Brock,dianasmith@example.org,2026-07-05,PREMIUM
60,Robert Contreras,pwilliams@example.org,2025-12-04,PREMIUM
61,Jessica Meadows,stephanie79@example.net,2025-06-11,VIP
62,Sara Ramirez,juliawells@example.com,2025-10-06,REGULAR
63,Dustin Nelson,rsims@example.com,2024-11-27,REGULAR
64,Daniel Perry,taylorjesse@example.net,2024-12-15,VIP
65,Randy Shah,nperry@example.com,2023-08-19,VIP
66,Sarah Ashley,wwoods@example.com,2025-04-30,PREMIUM
67,George Shelton,tracynelson@example.com,2025-04-08,PREMIUM
68,Susan Vargas,marycalhoun,2026-05-14,VIP
69,David Murphy,millerroy@example.com,2025-06-25,VIP
70,Bradley Smith,matthew64@example.com,2025-11-03,VIP
71,Tyler Williams,cookemichael@example.net,2023-09-06,VIP
72,John Wilson,jamessmith@example.org,2024-06-22,REGULAR
